Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,APARINDS.NS,KEI.NS,POLYCAB.NS,APARINDS.NS,KEI.NS,POLYCAB.NS,APARINDS.NS,KEI.NS,POLYCAB.NS,APARINDS.NS,KEI.NS,POLYCAB.NS,APARINDS.NS,KEI.NS,POLYCAB.NS,APARINDS.NS,KEI.NS,POLYCAB.NS
Date,,,,,,,,,,,,,,,,,,
2010-01-04,129.98074340820312,30.571624755859375,,169.5,33.29999923706055,,173.9499969482422,33.79999923706055,,168.64999389648438,32.04999923706055,,173.9499969482422,32.45000076293945,,8292,344969,
2010-01-05,134.04502868652344,32.95859909057617,,174.8000030517578,35.900001525878906,,179.8000030517578,36.54999923706055,,170.5,33.54999923706055,,173.0,33.70000076293945,,43006,1194929,
2010-01-06,135.1953125,34.19799041748047,,176.3000030517578,37.25,,179.9499969482422,38.5,,175.10000610351562,35.5,,176.0,36.0,,11933,1253506,
2010-01-07,139.1829071044922,35.71280288696289,,181.5,38.900001525878906,,191.8000030517578,40.29999923706055,,178.0,37.0,,179.89999389648438,37.54999923706055,,126323,1962367,
2010-01-08,147.1964874267578,36.26363754272461,,191.9499969482422,39.5,,195.0,40.599998474121094,,182.5,39.150001525878906,,183.0,39.45000076293945,,100104,833823,
2010-01-11,148.84518432617188,37.22760772705078,,194.10000610351562,40.54999923706055,,205.0,41.5,,192.0,40.0,,195.0,40.5,,92993,909253,
2010-01-12,147.15809631347656,36.67677307128906,,191.89999389648438,39.95000076293945,,203.0,41.45000076293945,,190.3000030517578,38.5,,194.5,40.75,,59664,725042,
2010-01-13,143.51560974121094,34.886539459228516,,187.14999389648438,38.0,,194.9499969482422,39.900001525878906,,185.25,37.849998474121094,,190.0500030517578,39.900001525878906,,58297,448818,
2010-01-14,144.5508270263672,35.89640426635742,,188.5,39.099998474121094,,192.39999389648438,40.29999923706055,,188.0500030517578,38.54999923706055,,190.0,38.900001525878906,,18225,585763,
2010-01-15,145.3944091796875,36.35545349121094,,189.60000610351562,39.599998474121094,,194.0,41.04999923706055,,184.10000610351562,39.400001525878906,,184.10000610351562,40.0,,16608,798406,
2010-01-18,150.45558166503906,38.237483978271484,,196.1999969482422,41.650001525878906,,199.39999389648438,42.79999923706055,,188.0,39.5,,190.0,41.0,,83798,1394352,
